Date,Open,High,Low,Close,Adj Close,Volume
01/01/2024,42280.23438,44175.4375,42214.97656,44167.33203,44167.33203,18426978443
02/01/2024,44187.14063,45899.70703,44176.94922,44957.96875,44957.96875,39335274536
03/01/2024,44961.60156,45503.24219,40813.53516,42848.17578,42848.17578,46342323118
04/01/2024,42855.81641,44770.02344,42675.17578,44179.92188,44179.92188,30448091210
05/01/2024,44192.98047,44353.28516,42784.71875,44162.69141,44162.69141,32336029347
06/01/2024,44178.95313,44227.63281,43475.15625,43989.19531,43989.19531,16092503468
08/08/2024,55030.02734,62673.76563,54766.72656,61710.13672,61710.13672,45298472567
09/08/2024,61728.20703,61751.86328,59587.85938,60880.11328,60880.11328,33425553115
10/08/2024,60881.23047,61464.51172,60287.56641,60945.8125,60945.8125,15745822278
11/08/2024,60944.89063,61778.66016,58348.82422,58719.48438,58719.48438,22759754812
12/08/2024,58719.39453,60680.33203,57688.89844,59354.51563,59354.51563,37078637820
13/08/2024,59356.20703,61572.39844,58506.25391,60609.56641,60609.56641,30327698167
14/08/2024,60611.05078,61687.75781,58472.875,58737.26953,58737.26953,29961696180
15/08/2024,58733.26172,59838.64844,56161.59375,57560.09766,57560.09766,35682112440
16/08/2024,57560.27344,59847.35938,57110.01953,58894.10547,58894.10547,29350938673
30/09/2024,65634.65625,65635.05469,62873.61719,63329.5,63329.5,37112957475
01/10/2024,63335.60547,64110.98047,60189.27734,60837.00781,60837.00781,50220923500
02/10/2024,60836.32422,62357.6875,59996.94922,60632.78516,60632.78516,40762722398
03/10/2024,60632.48438,61469.03906,59878.80469,60759.40234,60759.40234,36106447279
04/10/2024,60754.625,62465.99219,60459.94141,62067.47656,62067.47656,29585472513
05/10/2024,62067.60938,62371.02344,61689.58203,62089.94922,62089.94922,13305410749
06/10/2024,62084.98828,62959.57031,61833.14844,62818.95313,62818.95313,14776233667
